"","Gene_Clusters"
"MT1H","1"
"DDX5","1"
"MAFG","1"
"P4HA1","1"
"AC103702.2","2"
"BRD7","1"
"CKS2","2"
"BCL3","1"
"FUNDC2","1"
"STAP1","1"
"STRADB","2"
"HLA-DMA","2"
"AC100810.1","1"
"BAALC","1"
"TMEM179B","1"
"DDA1","1"
"KIF13B","2"
"DAB2","1"
"LIMA1","2"
"LRPAP1","1"
"LAMP1","1"
"CEP78","2"
"NCK2","2"
"MIR22HG","1"
"ADSS","1"
"ABCG1","1"
"AHI1","1"
"TRAPPC10","1"
"H2AFX","1"
"LCNL1","2"
"ZFC3H1","1"
"RHOB","1"
"IL18","1"
"DDOST","1"
"TRA2B","1"
"RAB2A","1"
"HIST1H1A","1"
"PQLC1","1"
"GSTM4","1"
"ZNRD1","1"
"PTPN6","1"
"KLHL4","2"
"HSPB11","2"
"YWHAH","2"
"CXCR6","2"
"ISG20","1"
"KRCC1","2"
"IKZF3","2"
"BZW1","1"
"CENPF","1"
"GOLGA7","1"
"ZNF350","1"
"MADD","1"
"TSIX","2"
"SHISA5","1"
"SDE2","1"
"SIN3A","1"
"CHCHD2","1"
"STX8","1"
"CCNT1","1"
"S100A10","2"
"BPGM","1"
"AC108134.3","1"
"NCR3","1"
"CCPG1","1"
"GALM","1"
"GGNBP2","1"
"MAP3K13","1"
"AL139099.1","2"
"AC023157.3","1"
"TUBB4A","2"
"HMGCS1","1"
"CD8B","2"
"CYLD","1"
"SNHG21","2"
"ITPRIPL2","2"
"WDR74","2"
"PPP1R10","2"
"C9orf139","2"
"AC074044.1","2"
"PPP2R5A","1"
"PAIP2","1"
"SEC14L1","1"
"MRPL18","1"
"IGF2BP2","1"
"TSTD1","1"
"CELF2","1"
"SSR4","1"
"TRAPPC1","1"
"RGS14","2"
"BCL2","2"
"GYPC","1"
"CSKMT","2"
"NOSIP","1"
"PIK3C2A","1"
"NDUFA12","1"
"GNAS","2"
"TNIP1","1"
"SMPD3","2"
"SUMO2","1"
"PTP4A1","1"
"RAB7A","1"
"NLRP3","1"
"ATP8A1","2"
"PDE7A","1"
"GNAQ","2"
"DUSP6","1"
"MID1IP1","2"
"RFX2","1"
"XCL2","1"
"KLRC3","2"
"SNRNP70","2"
"CERS6","1"
"MALAT1","2"
"YWHAE","1"
"TRAF3","1"
"CCDC112","2"
"TRIO","2"
"WIPF2","1"
"FCGBP","2"
"LINC00484","2"
"C1orf56","1"
"PSAP","1"
"PSMA7","1"
"CSNK1D","1"
"H3F3B","1"
"STARD3NL","1"
"PEG10","2"
"ASF1A","2"
"SNTB2","2"
"ARPC1B","2"
"SNRPD2","2"
"RNF19A","1"
"RELT","1"
"HELZ","1"
"ATP5MC2","2"
"AHR","1"
"TTTY14","1"
"C1orf35","2"
"ENOSF1","1"
"CCDC50","1"
"DNTTIP2","1"
"GRAMD4","1"
"RNASEH2C","1"
"EIF3I","1"
"IL1RL1","1"
"DNAJC15","1"
"ATP1A1","2"
"AP000911.1","1"
"FXR1","1"
"SRSF8","2"
"CX3CR1","1"
"DRAP1","1"
"B3GNT7","1"
"DYNLT1","2"
"GLIPR2","1"
"PIK3R3","2"
"ADAM17","1"
"ANXA11","1"
"LINC02470","2"
"ITPRIPL1","2"
"ULBP2","1"
"CDC42","1"
"SZRD1","1"
"BRD2","1"
"ARPC5L","1"
"CABIN1","2"
"AL359504.2","2"
"NAP1L3","2"
"ELF1","1"
"GTF3A","2"
"PATL2","2"
"CMTM7","2"
"STYK1","2"
"GCH1","1"
"AC006369.1","2"
"ABCD2","2"
"SYNGR1","2"
"CXCL8","1"
"AIF1","1"
"SELENOM","2"
"MAZ","2"
"AC097534.2","2"
"PSMB10","1"
"S1PR1","1"
"PGRMC1","2"
"NOP14-AS1","2"
"F8A3","2"
"SPSB2","2"
"LINC00324","2"
"ALYREF","1"
"FBXO32","2"
"SPATS2L","1"
"MPC2","1"
"ZCCHC17","1"
"PNRC1","2"
"AL139246.5","2"
"LMOD3","2"
"MOB1A","1"
"UVRAG","1"
"RPS24","2"
"MANBA","1"
"LRP12","1"
"PDE6G","1"
"INPP5K","1"
"COL13A1","1"
"NRXN2","1"
"SERPINA1","1"
"SLC4A7","2"
"DDN-AS1","2"
"AIG1","2"
"RNF213","1"
"BORCS6","1"
"RAPGEF2","1"
"AC012615.1","2"
"PLEKHJ1","2"
"EIF1AX","2"
"TRABD2A","2"
"CHD7","1"
"DNMBP","1"
"TMF1","1"
"ARAP2","1"
"ZFYVE28","1"
"SERPINE2","1"
"LAPTM5","1"
"CCR5","2"
"MLF1","1"
"VCP","1"
"SCRN1","1"
"HBP1","1"
"VPS4B","1"
"RAD23B","1"
"PDE4A","1"
"PLOD1","1"
"OTUD6B-AS1","2"
"PTS","1"
"BUD31","1"
"ITK","1"
"LMAN1","1"
"GAP43","2"
"YWHAB","1"
"NAP1L1","1"
"LINC01943","2"
"GALNT2","1"
"RAB21","1"
"DDX39A","1"
"COPA","1"
"PTK2B","1"
"KLHL21","1"
"AL135925.1","2"
"VTI1B","1"
"OSER1","1"
"ARL6IP1","1"
"AGO2","1"
"LINC00239","2"
"CD99","1"
"SSR3","1"
"CTSB","1"
"RAB5C","1"
"VSTM4","1"
"ORAI2","1"
"TUBA1A","1"
"ATM","1"
"YES1","1"
"IDH1","2"
"URI1","2"
"CSGALNACT1","1"
"SP110","1"
"APOC1","1"
"NEDD4L","1"
"ETF1","1"
"AC097376.2","2"
"GTF2F1","1"
"CALCOCO2","1"
"PDK3","1"
"PLEC","1"
"KIAA0232","1"
"NUDT15","2"
"LINC01480","1"
"TNFSF8","2"
"MINDY2","1"
"TAP1","1"
"SREK1","1"
"NCF1","2"
"EDARADD","1"
"SC5D","1"
"ATP5F1A","2"
"RAB1A","1"
"HEXA","1"
"MPP6","2"
"DGUOK","1"
"SAMSN1","1"
"PLXNA4","1"
"ZNRF1","1"
"ORMDL1","2"
"SFT2D1","1"
"GPN1","1"
"ARF5","1"
"SAR1B","1"
"AL355472.1","2"
"SLC35G2","2"
"PCAT1","2"
"RASSF5","1"
"SPHK1","1"
"MCTP1","1"
"KCTD20","1"
"NFU1","1"
"COQ7","2"
"COX17","1"
"PLIN2","1"
"IRAK2","1"
"HDDC2","2"
"MORC3","1"
"ICAM3","2"
"LINC00426","2"
"ABLIM1","1"
"MAP1LC3A","1"
"NECTIN3","2"
"RICTOR","1"
"OTUD4","1"
"GIMAP6","2"
"ASAP1","1"
"FOXC1","1"
"DCP1B","2"
"ST3GAL5","2"
"IGLV2-8","1"
"SLU7","1"
"SOS2","1"
"BACH2","1"
"GRIK4","1"
"ARHGEF1","1"
"SETX","1"
"CTSA","1"
"BCL11B","2"
"ARHGAP25","2"
"RORB","2"
"MED31","1"
"CYB5B","1"
"PSME4","1"
